GPS_date,GPS_time,GPS_milliseconds,Latitude,Longitude,UTC_offset_seconds
2019-08-19,22:31:30,624,-13.68967,155.44479,0
2019-08-19,22:31:40,624,-13.6894,155.44429,0
2019-08-19,22:31:50,624,-13.68914,155.44378,0
2019-08-19,22:32:00,624,-13.68888,155.44329,0
2019-08-19,22:32:10,624,-13.68862,155.44278,0
2019-08-19,22:32:20,624,-13.68835,155.44228,0
2019-08-19,22:32:30,624,-13.68809,155.44178,0
2019-08-19,22:32:40,624,-13.68782,155.44129,0
2019-08-19,22:32:50,624,-13.68756,155.44079,0
2019-08-19,22:33:00,624,-13.6873,155.44028,0
2019-08-19,22:33:10,624,-13.68704,155.43978,0
2019-08-19,22:33:20,624,-13.68678,155.43928,0
2019-08-19,22:33:30,624,-13.68652,155.43878,0
2019-08-19,22:33:40,624,-13.68626,155.43827,0
2019-08-19,22:33:50,624,-13.686,155.43777,0
2019-08-19,22:34:00,624,-13.68574,155.43726,0
2019-08-19,22:34:10,624,-13.68548,155.43676,0
2019-08-19,22:34:20,624,-13.68523,155.43625,0
2019-08-19,22:34:30,624,-13.68497,155.43575,0
2019-08-19,22:34:40,624,-13.68471,155.43525,0
2019-08-19,22:34:50,624,-13.68444,155.43475,0
2019-08-19,22:35:00,624,-13.68418,155.43425,0
2019-08-19,22:35:10,624,-13.68391,155.43375,0
2019-08-19,22:35:20,623,-13.68365,155.43325,0
2019-08-19,22:35:30,624,-13.68338,155.43276,0
2019-08-19,22:35:40,624,-13.68312,155.43226,0
2019-08-19,22:35:50,624,-13.68285,155.43176,0
2019-08-19,22:36:00,624,-13.68259,155.43126,0
2019-08-19,22:36:10,624,-13.68234,155.43075,0
2019-08-19,22:36:20,623,-13.68207,155.43025,0
2019-08-19,22:36:25,624,-13.68195,155.42999,0
2019-08-19,22:36:30,624,-13.68182,155.42975,0
2019-08-19,22:36:40,624,-13.68156,155.42924,0
2019-08-19,22:36:50,624,-13.6813,155.42874,0
2019-08-19,22:37:00,624,-13.68104,155.42823,0
2019-08-19,22:37:10,624,-13.68077,155.42774,0
2019-08-19,22:37:20,624,-13.68051,155.42723,0
2019-08-19,22:37:30,624,-13.68025,155.42673,0
2019-08-19,22:37:40,624,-13.67999,155.42623,0
2019-08-19,22:37:50,624,-13.67974,155.42573,0
2019-08-19,22:38:00,624,-13.67947,155.42522,0
2019-08-19,22:38:10,624,-13.67922,155.42472,0
2019-08-19,22:38:20,624,-13.67896,155.42422,0
2019-08-19,22:38:30,624,-13.6787,155.42371,0
2019-08-19,22:38:40,624,-13.67845,155.42321,0
2019-08-19,22:38:50,624,-13.67819,155.4227,0
2019-08-19,22:39:00,624,-13.67793,155.4222,0
2019-08-19,22:39:10,624,-13.67767,155.4217,0
2019-08-19,22:39:20,624,-13.6774,155.42119,0
2019-08-19,22:39:30,624,-13.67714,155.42069,0
2019-08-19,22:39:40,624,-13.67688,155.42019,0
2019-08-19,22:39:50,624,-13.67661,155.41969,0
2019-08-19,22:40:00,624,-13.67635,155.41919,0
2019-08-19,22:40:10,624,-13.67608,155.41869,0
2019-08-19,22:40:20,624,-13.67581,155.41819,0
2019-08-19,22:40:30,624,-13.67555,155.41768,0
2019-08-19,22:40:40,624,-13.67529,155.41718,0
2019-08-19,22:40:50,624,-13.67503,155.41668,0
2019-08-19,22:41:00,624,-13.67477,155.41617,0
2019-08-19,22:41:10,624,-13.67451,155.41566,0
2019-08-19,22:41:20,624,-13.67425,155.41516,0
2019-08-19,22:41:30,624,-13.674,155.41466,0
2019-08-19,22:41:40,624,-13.67374,155.41415,0
2019-08-19,22:41:50,624,-13.67348,155.41365,0
2019-08-19,22:42:00,624,-13.67322,155.41315,0
2019-08-19,22:42:10,624,-13.67296,155.41266,0
2019-08-19,22:42:20,624,-13.6727,155.41216,0
2019-08-19,22:42:30,624,-13.67244,155.41166,0
2019-08-19,22:42:40,624,-13.67218,155.41116,0
2019-08-19,22:42:50,624,-13.67192,155.41066,0
2019-08-19,22:43:00,624,-13.67165,155.41015,0
2019-08-19,22:43:10,624,-13.67139,155.40966,0
2019-08-19,22:43:20,624,-13.67113,155.40916,0
2019-08-19,22:43:30,624,-13.67087,155.40867,0
2019-08-19,22:43:40,624,-13.67061,155.40817,0
2019-08-19,22:43:50,624,-13.67034,155.40768,0
2019-08-19,22:44:00,624,-13.67008,155.40718,0
2019-08-19,22:44:10,624,-13.66982,155.40668,0
2019-08-19,22:44:20,624,-13.66956,155.40618,0
2019-08-19,22:44:30,624,-13.6693,155.40568,0
2019-08-19,22:44:40,624,-13.66905,155.40517,0
2019-08-19,22:44:50,624,-13.6688,155.40466,0
2019-08-19,22:45:00,624,-13.66854,155.40415,0
2019-08-19,22:45:10,624,-13.66828,155.40364,0
2019-08-19,22:45:20,624,-13.66802,155.40313,0
2019-08-19,22:45:30,624,-13.66776,155.40263,0
2019-08-19,22:45:40,624,-13.66749,155.40213,0
2019-08-19,22:45:50,624,-13.66722,155.40162,0
2019-08-19,22:46:00,624,-13.66695,155.40112,0
2019-08-19,22:46:10,623,-13.66669,155.40061,0
2019-08-19,22:46:20,624,-13.66642,155.40011,0
